003-519-925;Очень довольна покупкой. Брюки отлично сидят, стройнят. Подходят ко многим моим вещам: и к спортивным футболкам и бомберам  и к нарядным блузкам. 
004-283-764;"Люблю готовить и красиво сервироать стол, поэтому приобрела комплект ""Эмита"". Проверила на очередном семейном обеде. И красиво, и практично. Жаркое долго оставалось горячим."
003-900-174;Обажаю цветочные принты. Приобрела это платье, примерила - село отлично. Будет в чем встретить весну
004-283-832;нет
003-511-403;"Увидела эту юку на фото и сразу захотела купить, хотя ""карандашей"" у меня уже  достаточно, но эта такая оригинальная за счет вставки, не смогла удержаться и не жалею."
001-743-987;Это платье настоящая классика- и длина и покрой, такой чудесный вырез лодочкой, смогу комбинировать его разной бижутерией. Я выбрала серо-голубую расцветку-очень благородный образ
004-145-598;нет
001-602-173;Предстоит корпоратив. Выбрала это платье. Понравилось все. Очень удобное -  прямой покрой, небольшой универсальный вырез. А принт просто чудо. 
003-900-222;"Сразу запала на это платье. Давно хотела блузку с рукавом ""летучая мышь"", смотрится очень красиво, сидит отлично за счет планочки по нижнему краю, цвета принта мои. "
001-648-411;Это покрывало  я купила в спальню дочке. Понравилась красивая расцветка и качество. Комната стала выглядеть наряднее, а дочка даже стала убирать постель.
003-224-541;Купила 2-х спальный комплект. Он очень украсил спальню, даже покрывала не требуется, удобно одевается, теперь буду покупать только комплекты на молниях.
164-116;Давно искала одеяло из верблюжьей шерсти, но ведь сейчас все на синдепоне. И вот я наконец нашла то, что нужно - взяла 2-спальное одело и 2 подушки небольших размеров, их кстати тоже не просто найти, а для сна они полезней. 
003-628-340;Очень понравилась гобеленовая расцветка этого покрывала и то что его можно стирать. Комната стала выглядеть гораздо благородней.
004-023-449;Мне давно советовали подруги приобрести постельное белье с микрофиброй. И вот наконец я свободна - не нужно гладить. Это просто счастье. А бонус - чудесная расцветка, цветы, поднимающие настроение.
;
003-517-690;Почему я купила этот комплект? Во -первых я фанат  цветов, а во - вторых материал такой тонкий, воздушный, спать под ним очень приятно.
001-241-293;Очень устроило качество - микрофибра и наполнитель верблюжья шерсть. Отличное сочетание
002-788-744;Давно мечтала о таком модном жакетике - свободном, оригинальном, с брючками просто класс и совсем не полнит.
001-744-245;В моем гардеробе не хватало чего-то яркого, необычного. Ивот это платье мне подошло, я выбрала мультицветы на черном фоне. Очень эффектно. Поднимает настроение.
004-023-288;Мне нужна была такая вещь. Удобная и практичная. Очень удачный  воротник-не слишком высокий не давит. Отлично смотрится с юбкой и с брюками, с жилетом тоже хорошо сочетается.
;
004-283-835;нет
366-107;Сразу поняла, что это мое платье, такое скромное, но с изюминкой, очень стрйонит за счет отделки низа и рукава. То что нужно.
003-900-444;Такая позитивная блузочка, очень удобный рукавчик, почувствовала себя более молдой и стройной.
003-900-183;Мне понравился покрой платья. Хорошо сидит за счет кокетки и плечиков - это всегда стройнит. Расцветки тоже удачные, я выбрала с  сердечками, всем понравилось.
002-684-378;Решила, что пора готовится к весне и купила эту блузку в розовом цвете, смотрится отлично- кармашек, разрезы, пуговки - все что нам девочкам нравится.
003-942-617;Такой сквородки на моей кухне хватало. Устроила достаточно большая глубина и съемная ручка. Проверила - ничего не пригорает.
004-163-528;нет
004-277-339;нет
003-685-045;Получила этот блендер в подарок, именно такой я и хотела, уже испытала в готовке - очень простой и удобный. Готовила и мясной и рыбный фарш. Все супер.
004-277-523;нет
003-983-184;Была в гостях у подружки и впервые увидела эту штуку- мармит. Решилась купить и удивила свою семью этой красотой, плов получился чудесный и долго оставался горячим. Милые полотенечки в подарок тоже порадовали
003-693-992;Удобная сковорода, устроила глубина и возможность говить на индукционной плите, легко моется.
002-212-700;Я поклонница индукционных плит. Использую такую дома - все готовится очень быстор. Вода закипает моментально. Эту плитку приобрела для дачи, хочу комфорта.
003-003-462;Мне понравился фасон блузы, удачная отделка, сочетание цветов, я выбрала розовый с серым, очень освежает. Удобно, что низ блузы на манжете.
;
001-609-109;Решила себя порадовать, пусть действительно зимой расцветают цветы. Платье сидит отлично, дополнительно украшают широкие манжеты. Буду создавать позитив себе и окружающим.
004-291-808;Мне подошел фасон этого платья, сидит очень хорошо, но главное оригинальная расцветка-создается впечатление вытканого рисунка на однотонном фоне.
001-712-120;Купила это платье - покрой мой и принт, который мне всегда нравился - восточные мотивы, очень подходит моему образу.
004-283-851;нет
004-283-850;нет
004-283-842;нет
002-792-544;
001-648-404;Давно искала покрывало размером евро-макси и наконец повезло, да еще такое чудесное качество -шелк! Цветы на нем, как живые, периливаются. Спальня стала совсем другой.
004-023-649;Иногда хочется себя побаловать, вот купила новое постельное белье и мое утро действительно стало цветочным. Понравилось также качество материала и то, что не требуется глажка.
;
003-628-374;Понравилась расцветка и качество, удобно. Что можно стирать,  использую и как плед, если хочется поваляться днем.
004-023-294;Приобрела такой комплект для дачи, мы бываем там и зимой, вот и пусть нас радуют снежные ромашки, с качеством такого белья я уже знакома и оно меня не подводило.
